Email;Site;Ce qu'ils listent deja;Angle d'approche;Statut email
contact@obeevi.fr;obeevi.fr;"Article ""AI Video Cut : l'alternative IA a Opus Clip"" + Top 8 generateurs video IA";Alternative FR manquante dans leurs 2 comparatifs;Verifie
contact@nocodelowcode.fr;nocodelowcode.fr;Top 5 outils IA shorts viraux + Automatiser la creation video IA;Outil FR absent du top 5;Verifie
contact@videoia.fr;videoia.fr;"Boite a outils video IA + page dediee ""Outils IA pour YouTube & Shorts""";Page Shorts = match parfait;Verifie
contact@deepdive.sarl;deep-dive.fr;10 outils IA video (OpusClip, Submagic, Descript, HeyGen) + 50 annuaires IA;Ils tiennent aussi une liste d'annuaires IA (double opportunite);Verifie
contact@ai-gen.fr;ai-gen.fr;Guide strategique outils IA createurs de contenu 2026;Section video a completer;Verifie
contact@lacreme.ai;lacreme.ai;Les 10 meilleurs logiciels de montage TikTok IA;Concurrent direct du top 10;Verifie
contact@agenceclipping.fr;agenceclipping.fr;Blog clipping, devenir clipper, clipping TikTok;Audience 100% clippeurs = ICP;Verifie
contact@minidoc.fr;minidoc.fr;Sous-titrage IA : meilleurs outils 2026;Angle sous-titres;Verifie
contact@outilsdufreelance.com;outilsdufreelance.com;Outils IA freelances (categorie video);Categorie video a enrichir;Verifie
hello@logiciels.pro;logiciels.pro;Comparateur SaaS pro, section IA video;Fiche produit a creer;Verifie
contact@pimptonseo.com;pimptonseo.com;"Test et avis Opus Clip ""apres des mois d'utilisation""";Proposer un test compare;Verifie
contact@droneandcam.com;droneandcam.com;Avis Opus Clip honnete + test complet Klap.app;2 articles concurrents deja en ligne;Verifie (aussi ghelion@hotmail.fr)
netsysarl@gmail.com;formalive.fr;Opus Clip avis : prix, fonctionnalites, test 2026;Article Opus Clip a completer;Verifie (mentions legales)
contact@lefiltreia.fr;lefiltreia.fr;Avis OpusClip + categorie Montage video;Categorie montage video entiere;Verifie
contact@zoneia.fr;zoneia.fr;Annuaire francophone de reference des outils IA;Soumission d'outil GRATUITE - a faire en priorite;Verifie
contact@ia-labo.fr;ia-labo.fr;45+ meilleurs outils IA de creation et montage video;Liste de 45 outils = ajout facile;Verifie
contact@illith.com;illith.com;Automatisation IA : 10 workflows pour gagner du temps;Workflow repurposing video;Verifie
hello@verysaas.io;verysaas.io;Comparateur SaaS francais;Fiche produit;Verifie
contact@studeria.fr;studeria.fr;10 meilleurs outils IA 2026 : guide d'implementation;Liste generaliste;Verifie
contact@cube.fr;ecole.cube.fr;Top 18 outils IA 2026 + meilleurs outils IA freelances;Ecole = audience formation;Verifie
mathias@ai-advices.com;ai-advices.com;"""Transformez vos videos longues en Shorts grace a cette IA""";Sujet exactement identique a Creatis;Verifie
hello@promptfacile.fr;promptfacile.fr;Fiche Klap : avis, prix, essai gratuit et alternatives;Section alternatives Klap;Verifie
contact@melod.fr;cocowork.fr;Submagic avis et test complet 2026 + outils IA redaction;Article Submagic;Verifie (editeur Melod)
m.paterno@webindme.fr;webindme.fr;Outils IA 2026 : top logiciels et guide productivite;Liste generaliste;Verifie
contact@agence-clova.fr;agence-clova.fr;No-code et automatisation : meilleurs outils 2026;Angle automatisation;Verifie (aussi paris@agence-clova.fr)
projet@clakprod.com;clakprod.com;Guide 2026 adapter videos verticales courtes avec IA;Boite de prod video;Verifie
moncontact@ethics-ai.fr;ethics-ai.fr;Site avec toutes les IA : annuaires et plateformes 2026;Referencement dans leur annuaire;Verifie
contact@careerbooster.fr;infreelancing.com;12 outils IA indispensables pour les freelances 2026;Editeur du site;Verifie
michael@apprendrelavideo.fr;apprendrelavideo.fr;TOP 15 logiciels de montage video 2026 (IA & gratuit);Audience 100% video;Verifie
admin@waxoo.fr;waxoo.fr;3 articles outils IA YouTube faceless 2026 (stack complete);3 articles = 3 opportunites;Verifie
contact@codeur.com;graphiste.com;10 alternatives a CapCut pour vos montages video;Article alternatives CapCut;Verifie (editeur Codeur.com)
edouard.gonet@impli.fr;impli.fr;Comparatifs logiciels (newsletter, outils);Comparatifs SaaS;Verifie
hello@comparatif-logiciels.fr;comparatif-logiciels.fr;Guide logiciels B2B SaaS, section agents IA video;Fiche produit;Verifie
podcast@ouest.digital;keepitsimple.fr;"Guide ""on a teste et compare 6 outils de sous-titrage video social media""";Comparatif sous-titrage a 6 outils;Verifie
aida@equinoxmagazine.fr;equinoxmagazine.fr;Video courte, IA et business creatif : pourquoi le format court est strategique;Magazine FR (aussi redac@equinox.cat);Verifie
contact@job2reve.com;jean-marie-corda.com;OpusClip avis : mon test complet et sans filtre 2026;Editeur du blog;Verifie (politique de confidentialite)
angela.cebarec@japonescapade.fr;iafreelance.fr;Blog IA freelance : comparatifs et tutoriels outils IA;Editrice (reseau de sites);Verifie (a confirmer)
FORMULAIRE;leptidigital.fr;Media digital majeur - avis Submagic complet;https://www.leptidigital.fr/contact/ (Cloudflare bloque l'email);Formulaire
FORMULAIRE;realite-virtuelle.com;Avis Submagic 2026 test complet;https://www.realite-virtuelle.com/contact/;Formulaire
FORMULAIRE;leswizards.com;Avis Submagic + avis SendShort + meilleurs outils video IA;https://leswizards.com/contact/ - 3 articles concurrents;Formulaire
FORMULAIRE;appvizer.fr;Fiches ""Alternatives a Opus Clip"" ET ""Alternatives a Submagic"";Plateforme d'avis - referencer le logiciel;Formulaire
FORMULAIRE;ecom-convert.com;Submagic avis 2026;https://ecom-convert.com/contact/;Formulaire
FORMULAIRE;mission-open-data.fr;Submagic avis test 2026 sous-titrage IA;https://www.mission-open-data.fr/contact;Formulaire
FORMULAIRE;webmaster-aquitaine.fr;Les 10 meilleures alternatives a Submagic en 2026;Article 100% alternatives Submagic;Formulaire
FORMULAIRE;zipla.fr;Top 10 des meilleurs outils IA pour le sous-titrage video;Top 10 sous-titrage;Formulaire
FORMULAIRE;freelancekit.fr;Fiche ressource Submagic;https://freelancekit.fr;Formulaire
FORMULAIRE;repha.fr;Les 10 outils d'IA incontournables pour le montage video;https://repha.fr/contact/;Formulaire
FORMULAIRE;mintavocado.com;Avis Opus Clip 2026 : le generateur de clips video IA;https://mintavocado.com;Formulaire
FORMULAIRE;neads.io;Top 10 des outils IA en social media;https://neads.io/contact/;Formulaire
FORMULAIRE;woo.paris;Les meilleurs outils IA pour les reseaux sociaux;https://www.woo.paris;Formulaire
